Core: LTQsys_blob2_mem_if_ddr3_emif_0_p0 - Instance: LTQsys_blob2_inst|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.006,0.441
"Bus Turnaround Time (Slow 1100mV 85C Model)",8.053,--
"Core (Slow 1100mV 85C Model)",-0.804,0.303
"Core Recovery/Removal (Slow 1100mV 85C Model)",1.231,0.886
"DQS vs CK (Slow 1100mV 85C Model)",0.402,0.613
"Postamble (Slow 1100mV 85C Model)",0.742,0.742
"Read Capture (Slow 1100mV 85C Model)",0.297,0.25
"Write (Slow 1100mV 85C Model)",0.323,0.326
"Address Command (Slow 1100mV 0C Model)",0.053,0.392
"Bus Turnaround Time (Slow 1100mV 0C Model)",8.194,--
"Core (Slow 1100mV 0C Model)",-0.853,0.347
"Core Recovery/Removal (Slow 1100mV 0C Model)",1.395,0.84
"DQS vs CK (Slow 1100mV 0C Model)",0.483,0.595
"Postamble (Slow 1100mV 0C Model)",0.727,0.727
"Read Capture (Slow 1100mV 0C Model)",0.309,0.262
"Write (Slow 1100mV 0C Model)",0.352,0.354
"Address Command (Fast 1100mV 85C Model)",0.768,0.572
"Bus Turnaround Time (Fast 1100mV 85C Model)",8.79,--
"Core (Fast 1100mV 85C Model)",1.773,0.087
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.814,0.331
"DQS vs CK (Fast 1100mV 85C Model)",0.671,0.803
"Postamble (Fast 1100mV 85C Model)",0.926,0.926
"Read Capture (Fast 1100mV 85C Model)",0.512,0.465
"Write (Fast 1100mV 85C Model)",0.488,0.488
"Address Command (Fast 1100mV 0C Model)",0.758,0.591
"Bus Turnaround Time (Fast 1100mV 0C Model)",8.822,--
"Core (Fast 1100mV 0C Model)",1.797,0.088
"Core Recovery/Removal (Fast 1100mV 0C Model)",4.165,0.298
"DQS vs CK (Fast 1100mV 0C Model)",0.666,0.815
"Postamble (Fast 1100mV 0C Model)",0.943,0.943
"Read Capture (Fast 1100mV 0C Model)",0.515,0.468
"Write (Fast 1100mV 0C Model)",0.498,0.498
